a,budget,n,R,w2,cvR,cvW
1.3,2000,4,0.21936979783288169,5.114522412967292,0.07632808857538173,0.07632808857538184
1.3,4000,30,0.23330773516706343,5.439480057959575,0.06294637058029065,0.06294637058029066
1.3,8000,36,0.23297563076910405,5.4317371717300755,0.06742251103178525,0.06742251103178525
1.3,16000,37,0.2331845466059923,5.43660796406678,0.06660721935438203,0.06660721935438202
1.3,32000,38,0.23297563076910405,5.4317371717300755,0.07138376698642465,0.07138376698642464
1.35,2000,10,0.23646086459228116,4.429325725449115,0.07168512858138607,0.07168512858138601
1.35,4000,33,0.237946294096677,4.457150419097709,0.06475343448958885,0.06475343448958884
1.35,8000,36,0.2374775328108782,4.448369700030884,0.06696240873324502,0.06696240873324502
1.35,16000,37,0.2378293561472429,4.454959966700426,0.06616275306983484,0.06616275306983485
1.35,32000,38,0.2374775328108782,4.448369700030884,0.07083082977574887,0.07083082977574885
1.4,2000,17,0.2418123592749474,3.7606021203840583,0.06770298782044419,0.06770298782044422
1.4,4000,34,0.2420765771291796,3.764711166860625,0.06497823350478027,0.06497823350478028
1.4,8000,36,0.24145140493817965,3.754988653610562,0.065859968192819,0.06585996819281902
1.4,16000,37,0.2418123592749474,3.7606021203840583,0.06508305607504176,0.06508305607504179
1.4,32000,38,0.24145140493817965,3.754988653610562,0.06974001524134556,0.0697400152413456
1.45,2000,24,0.24896002835248174,3.291294427322374,0.06321921663050153,0.06321921663050149
1.45,4000,34,0.24603695936907327,3.25265095222544,0.06423383843536874,0.06423383843536873
1.45,8000,37,0.2455518323439881,3.2462374894508224,0.0643421075912965,0.06434210759129648
1.45,16000,37,0.2455518323439881,3.2462374894508224,0.0643421075912965,0.06434210759129648
1.45,32000,38,0.24524100278924146,3.242128269235213,0.06884608337131422,0.06884608337131422
1.5,2000,26,0.2496982553318618,2.8622371556168695,0.061458771431210084,0.061458771431210035
1.5,4000,34,0.2496982553318618,2.8622371556168695,0.06350494250213862,0.06350494250213859
1.5,8000,37,0.2489125556350173,2.853230849735892,0.06356978191458301,0.06356978191458301
1.5,16000,37,0.2489125556350173,2.853230849735892,0.06356978191458301,0.06356978191458301
1.5,32000,38,0.24871386876666915,2.850953345088679,0.06792084483052313,0.06792084483052313
1.6,2000,26,0.25765243057703896,2.3117541868865503,0.06014912675281764,0.060149126752817576
1.6,4000,33,0.2590228118091658,2.3240497609818735,0.06217832931550878,0.06217832931550873
1.6,8000,37,0.2562820493449121,2.299458612791227,0.061912826564032235,0.061912826564032186
1.6,16000,37,0.2562820493449121,2.299458612791227,0.061912826564032235,0.061912826564032186
1.6,32000,38,0.25627600146722274,2.299404348965581,0.0663818763195694,0.06638187631956934
