scope,n,PASS,FAIL,PARTIAL,UNRESOLVED
scored by registered rules,214,100,66,8,40
assigned post hoc in the census,22,3,6,13,0
all,236,103,72,21,40
since 2026-09-23: scored by registered rules,63,34,19,0,10
since 2026-09-23: assigned post hoc,9,0,0,9,0
by registered unit: scored by registered rules,282,131,93,8,50
by registered unit: assigned post hoc in the census,14,3,6,5,0
by registered unit: all,296,134,99,13,50
by registered unit: since 2026-09-23: scored by registered rules,131,65,46,0,20
by registered unit: since 2026-09-23: assigned post hoc,1,0,0,1,0
since 2026-09-23: validity gates (not predictions; not in the headline),20,20,0,0,0
"pending: registered, not yet scored (not in the headline)",0,0,0,0,0
"registered decision rules: outcome reported, not a prediction (not in the headline)",1,0,0,0,0
