a,seed,precision,w1,b1,w2,b2,solved
1.02,0,float32,-1.2422147989273071,1.939318299293518,-0.6671773195266724,1.351599097251892,False
1.02,0,float64,0.8440387538021007,2.330349729102699,-1.7759648816712275,5.0280475676759835,False
1.02,1,float32,0.8698262572288513,-2.3398427963256836,1.9804073572158813,5.53745698928833,False
1.02,1,float64,-0.8347134202630192,2.3736240181421544,-2.236738030414033,6.34301410476794,False
1.02,2,float32,-0.7367238402366638,-2.458129405975342,3.0763325691223145,8.99354362487793,False
1.02,2,float64,0.802438490221637,-2.3913710703965614,2.310627918251583,6.6185762307567675,False
1.02,3,float32,-0.9089639782905579,-2.2714834213256836,1.8049215078353882,4.907720565795898,False
1.02,3,float64,-0.9335885953307437,-2.2469574902370955,1.670096230374232,4.485037146966408,False
1.02,4,float32,-0.0014296055305749178,-0.1881723701953888,-0.6917063593864441,-0.2622891664505005,False
1.02,4,float64,-0.001810415074690332,0.498264708179186,-0.8781567206870329,0.8653939434297828,False
1.02,5,float32,0.8056292533874512,-2.3762576580047607,2.258368492126465,6.479605674743652,False
1.02,5,float64,0.8741028270180817,2.33798407323196,-1.9149311524389996,5.330148967399317,False
1.02,6,float32,0.01653875783085823,-0.08951263874769211,0.7148593664169312,0.1278260350227356,False
1.02,6,float64,0.01612867618647255,0.47196693323718103,0.518998573163568,-0.4864475820676415,False
1.02,7,float32,-0.7061986327171326,-2.477268695831299,3.411613702774048,10.047792434692383,False
1.02,7,float64,-0.7452685639611674,-2.4394495815999346,2.8968278298989008,8.433937276556604,False
1.02,8,float32,-0.0019817857537418604,0.4688289761543274,0.6729459166526794,-0.6257185935974121,False
1.02,8,float64,0.0033079700962035546,-0.2487353268289384,-0.4029660095672782,-0.20149768492790893,False
1.02,9,float32,-0.8436977863311768,-2.3223812580108643,2.0537612438201904,5.784121036529541,False
1.02,9,float64,-0.9376950032236764,2.287222652176506,-1.4671412375268469,3.9738488778081367,False
1.02,10,float32,-0.7692415118217468,2.4182326793670654,-2.8271806240081787,8.149398803710938,False
1.02,10,float64,0.7180831266236295,-2.4679512048536725,3.4747927155249028,10.182260504304704,False
1.02,11,float32,0.03615377098321915,0.050244443118572235,0.5155169367790222,-0.05219985917210579,False
1.02,11,float64,-0.8916630612564486,2.311828549488026,-1.8248905414348102,5.076899417292897,False
1.02,12,float32,-0.7580777406692505,-2.432126998901367,2.73435115814209,7.878870487213135,False
1.02,12,float64,0.0380851466668636,-0.0796483090706015,-0.605457024630777,-0.10048916514162713,False
1.02,13,float32,-0.05961869657039642,0.04506317153573036,0.6673275232315063,-0.06277250498533249,False
1.02,13,float64,0.8859033171886617,2.30717990246984,-1.9518305706374912,5.42593022579006,False
1.02,14,float32,0.007017309311777353,-0.7211498618125916,0.54246586561203,0.7565991282463074,False
1.02,14,float64,0.7364202565403961,-2.4478292031812923,2.932082304755238,8.557075453132814,False
1.02,15,float32,0.8869225382804871,-2.309626817703247,1.802767038345337,4.958224296569824,False
1.02,15,float64,-0.7039916657574817,2.4859628392277817,-3.594109930321424,10.574959924247334,False
1.02,16,float32,0.030923735350370407,-0.39487379789352417,0.3115062713623047,0.24531222879886627,False
1.02,16,float64,0.012253376389087595,-0.02784662830874342,0.3639591162309673,0.02060589564767383,False
1.02,17,float32,-0.0021170673426240683,0.2960103452205658,0.883025586605072,-0.5241970419883728,False
1.02,17,float64,0.003933018404056362,-0.2633867174177141,-0.4275864500707228,-0.2262385383996475,False
1.02,18,float32,0.8388514518737793,2.340158462524414,-2.090005397796631,5.8577680587768555,False
1.02,18,float64,0.7330874149566855,-2.467972647921093,2.889894680144759,8.475647479324998,False
1.02,19,float32,0.8119418025016785,-2.398597002029419,2.462270975112915,7.006779193878174,False
1.02,19,float64,0.7015108300690708,-2.5024864988384015,3.822360575421388,11.271300840426115,False
1.02,20,float32,0.9222537875175476,-2.2616851329803467,1.656859040260315,4.507906913757324,False
1.02,20,float64,0.882445383979206,-2.300605980991959,1.8857323764492202,5.223125059171259,False
1.02,21,float32,-0.02637062594294548,-0.19018509984016418,-1.0176063776016235,-0.39180538058280945,False
1.02,21,float64,0.8643477791989904,-2.318787307327117,1.9871204915317702,5.519524929649786,False
1.02,22,float32,0.9799567461013794,2.239577054977417,-1.3722028732299805,3.642401933670044,False
1.02,22,float64,0.7725506663293681,2.4363434138421725,-2.769043242925781,8.021477614637721,False
1.02,23,float32,0.860184907913208,2.2942121028900146,-1.8526275157928467,5.131302356719971,False
1.02,23,float64,-0.8020652823879146,-2.3530677284270607,2.2758922227832064,6.45784213375134,False
1.02,24,float32,0.8609495759010315,2.331888437271118,-2.099823236465454,5.8284010887146,False
1.02,24,float64,-0.8573953612008944,-2.3350606917241397,2.1244538381503686,5.904971736750439,False
1.02,25,float32,-1.0342644453048706,2.1192924976348877,-1.1709097623825073,2.9255478382110596,False
1.02,25,float64,-0.8236314253851927,2.3343927627632732,-2.257915563622694,6.332643067043076,False
1.02,26,float32,-1.0490288734436035,-2.127894639968872,1.0693529844284058,2.7154953479766846,False
1.02,26,float64,-0.8480021443649071,-2.324655586878317,1.9845588173078654,5.565112151649854,False
1.02,27,float32,0.9148352146148682,-2.2804806232452393,1.843021035194397,4.87656831741333,False
1.02,27,float64,-0.8957754124970218,2.299960020831892,-1.9558827381179624,5.236076865087522,False
1.02,28,float32,-0.8709046244621277,-2.282011032104492,1.8214117288589478,5.006105422973633,False
1.02,28,float64,-0.8857258475822357,-2.267529538526804,1.7335832107732483,4.7337402211865935,False
1.02,29,float32,-0.033580098301172256,0.2560949921607971,0.36180806159973145,-0.1870764046907425,False
1.02,29,float64,1.059692962729343,2.1438798688821743,-1.0896529305246772,2.741991228326817,False
1.02,30,float32,0.8450462818145752,2.321744441986084,-1.9669020175933838,5.506030559539795,False
1.02,30,float64,-0.009107807656198995,0.4632425517382393,0.44134359910946913,-0.4056400159951361,False
1.02,31,float32,-0.773460328578949,2.4262263774871826,-3.0672450065612793,8.781411170959473,False
1.02,31,float64,0.9506226677023956,-2.256494166856865,1.675826824911466,4.419420285274887,False
1.02,32,float32,0.8684324622154236,-2.294128179550171,1.8068733215332031,5.042016983032227,False
1.02,32,float64,-0.03744061114936224,-0.13455815570395946,0.20230443170171974,0.053696776105608926,False
1.02,33,float32,0.837011456489563,2.3603005409240723,-2.3338754177093506,6.56683349609375,False
1.02,33,float64,0.9431381575522305,2.2580898847706385,-1.646194983368186,4.412994453195072,False
1.02,34,float32,0.8600764870643616,-2.3451077938079834,1.9339535236358643,5.401782035827637,False
1.02,34,float64,0.858998753599873,-2.3467030006940415,1.9403969354027049,5.424701705708616,False
1.02,35,float32,-0.9689136147499084,-2.2235264778137207,1.414026141166687,3.7224085330963135,False
1.02,35,float64,0.9599071522797585,2.2340969302712983,-1.4548098913743204,3.8534937520614587,False
1.02,36,float32,-0.7727190852165222,2.4050815105438232,-2.997284173965454,8.620406150817871,False
1.02,36,float64,-0.9000878172222178,2.2818347923525835,-1.9154974968108995,5.236942237688737,False
1.02,37,float32,-0.03136850893497467,0.266520619392395,0.3508254587650299,-0.1893230527639389,False
1.02,37,float64,-0.8027045657773763,-2.41280126616337,2.515278195609563,7.188961210942559,False
1.02,38,float32,0.7283199429512024,2.4580066204071045,-3.8680830001831055,11.173093795776367,False
1.02,38,float64,-0.7979192876701756,-2.3909347764109232,2.949871166887728,8.293936573807935,False
1.02,39,float32,-0.7868785262107849,2.384896993637085,-2.569627523422241,7.338108539581299,False
1.02,39,float64,-1.0108386804693867,2.1617183287991297,-1.2419902714666837,3.1789395408829133,False
1.02,40,float32,0.8113990426063538,2.3915882110595703,-2.512989044189453,7.175997734069824,False
1.02,40,float64,0.869974807759536,-2.3324166729883493,1.7593532244578853,4.94299987131076,False
1.02,41,float32,-0.9366257190704346,-2.229405641555786,1.5404930114746094,4.149692535400391,False
1.02,41,float64,0.049805191011755894,-0.12368079949806837,-0.5318524817005421,-0.13314333959350977,False
1.02,42,float32,0.8050867915153503,2.3738439083099365,-2.2037925720214844,6.309009075164795,False
1.02,42,float64,-0.8391702827810354,2.36796937442927,-2.1775710173380274,6.149404627235747,False
1.02,43,float32,-0.9518027305603027,-2.241203784942627,1.5755964517593384,4.2044677734375,False
1.02,43,float64,0.889978364676989,2.301586274111615,-1.9154258494835004,5.2677925624433515,False
1.02,44,float32,-0.8106985688209534,-2.3919475078582764,2.5101873874664307,7.168740749359131,False
