opt,seed,s_frozen,t_rule,s_rule,s_run,branch_b1_rule,branch_w1_rule,winding_rule_agrees,branch_lo,branch_hi,P_w1,P_b1,P_b2,r_cf,kappa,chi,sdot,status_cf,traj_rho_max,traj_max_abs_delta,traj_T,delta0_norm,s_traj,r_traj,t_traj,status_traj,status,path_sha256
adam,1650000,1.7860946801989557,2931.0,0.8972593776616288,1.883509865921488,-2.0310489417297717,1.2877744080837312,True,0.5394005934200821,3.0363609563381755,40.5402370733701,53.8955190454027,72.39633798638023,0.07417866715374886,3.071035704836139,0.02415428353272982,0.0048141501459009195,ok,0.9486832980505158,0.20884109595978162,496.0,0.20674373554614656,2.0067574165397946,0.06543504382336174,3140.0,ok,ok,14402d4783a23ff12f2f1a5efa0f3dbc9c016de55ed8a1b09353eb5af5277338
adam,1650001,1.51884434630001,662.0,0.7668384337515354,2.1849734451271416,-1.9315280146352851,1.4070046078927971,True,0.45565330389000347,2.5789977000174567,7.214812377058762,35.110903789243004,72.96526517374087,0.046421648382681584,2.443231214184652,0.019000104498162806,0.0031379563567014413,ok,0.9486832980505154,0.18069516058510499,505.0,0.1528297141982704,2.303288870301845,0.05414959410081921,1072.0,ok,ok,ac12b40a89745c2132b448c2ba49bca99f2811c22406f86280c80890d6cb871c
adam,1650002,1.7338090420529233,17621.0,0.875990177466241,1.7338090420533154,-2.043369074695703,-1.282617963067563,True,0.5236103306999781,2.947475371489936,69.59035621417253,65.40749783357863,245.47012636428568,0.09346232179471828,3.1671205875350172,0.029510187317326107,0.016876806197289346,ok,0.9486832980505149,0.23758558574859912,230.0,0.23758558574859912,1.8508409207173637,0.06749986637827754,17689.0,ok,ok,6c37cdb449d3c0788c7c83a7cd7e84bf34b987291d1d259160bb261f26dad2a4
adam,1650003,1.8395585962882215,661.0,0.9212788768905907,1.7410897102052876,-2.0589629003835435,1.2649442149147478,True,0.5518675788864699,3.1235704964974436,100.55167954287455,16.24791973478796,14.338842555635924,0.13365452487592436,3.0365429213561015,0.04401535836557023,0.001650189340963355,ok,0.9698262233996329,0.2391467134700176,1321.0,0.2391467134700176,1.962375368878621,0.1270960694192158,1293.0,ok,ok,a581625d99b0464f8e9c41061b4dff7688c26b05938b5ed95b5efe070d23ea1b
adam,1650004,1.7469976445477533,414.0,0.874838794950477,1.922785132993782,-2.0178529162964467,1.3195543294537473,True,0.5275932886534169,2.9698959957311466,41.963699734868406,26.363869687456045,13.579580912477137,0.13071387543893012,2.999641069237452,0.04357650546242164,0.0017122601582788288,ok,0.9744307071987537,0.27368952026106186,1227.0,0.2621030779425726,2.185580178341251,0.13667416126642107,1190.0,ok,ok,7fd1350c45cdcbcdc61ca61f19f4d55e3eb70c27d9ed909c875eddaeada38464
adam,1650005,1.921572707613513,251.0,0.9614691841338842,1.921572707613062,-2.0431769386885406,-1.279949255976496,True,0.5764718122840553,3.2628304575278095,40.06890195008854,20.892755215612286,61.34384101229857,0.06510151493363875,3.186188023361901,0.020432414677444867,0.003429158506093033,ok,0.9486832980505152,0.1921547578970415,711.0,0.1921547578970415,2.0566026563480686,0.07027053839806974,541.0,ok,ok,b9528532e27bbfe2bf6f1717a769b034ad9bdf8322f683baeb371270fc9807d3
adam,1650006,1.783778053127683,299.0,0.8922707605215027,1.7837780531280982,-2.0453853334437966,-1.2830374944407807,True,0.535133415938305,3.028855134210869,26.787041422499374,36.42608227990785,27.34406342015002,0.1015751164021981,3.0221618699869133,0.03361008469167072,0.0024400858480129405,ok,0.948683298050515,0.2090511609941088,888.0,0.2090511609941088,1.9556143930502916,0.09633280307539094,721.0,ok,ok,5da028fb8958517d9c8b7f0360e48f43291fe11941fcdfb05b188b391e6eec0c
adam,1650007,1.7010946233544049,730.0,0.8511014165530616,2.029600994909795,-2.0088327101807497,1.34513901430516,True,0.5103283870063261,2.888458670455814,56.82952541910626,18.662361652422213,21.976738187064385,0.09561811089308565,3.0650943922770613,0.031195812805637897,0.002076352798426775,ok,0.9486832980505159,0.26527441478990843,958.0,0.26527441478990843,2.282495464860568,0.12460304788233167,1383.0,ok,ok,0c04f51b9c73eba8e0e4239f4bf3c9701f78c8602d69c879be41d7dbb66dc9ef
adam,1650008,1.842298260349452,1423.0,0.9251255787311916,1.86745974684088,-2.0455638859653567,1.3013779976815085,True,0.5526894781048404,3.1319070425940407,71.56716636189006,90.0939234625102,46.699673196687456,0.08551061800784836,2.9998777877406715,0.028504700543901106,0.0037265487020728028,ok,0.9486832980505154,0.27348740464959886,652.0,0.27291802936976417,2.029502184885309,0.0867715827977289,1692.0,ok,ok,f6c44fb01bbd54678264ac9b506c1a713b95f3472e245b99c8d28937d050d68a
adam,1650009,2.092119121930119,9516.0,1.0598242468428576,1.7398461548305977,-2.0951015138999676,1.2476214396698855,True,0.6318199748228941,3.5566025072811565,43.385237853189714,113.77062248917825,125.27252687049777,0.14908681216769445,3.026782703458858,0.04925586894537404,0.015438510084523356,ok,0.9486832980505148,0.2336463464036667,410.0,0.22953274032756443,1.8795524701565833,0.0802980855164106,9594.0,ok,ok,e6936eb089f83dcdadc55375671f5bc10672cae9fe5c0b4683332d9499de8b22
